Time,Light,Avg
5,854,172
11,875,256
17,871,332
23,863,411
29,846,493
35,786,579
41,775,666
46,808,753
52,840,838
59,773,836
72,836,831
84,855,825
97,864,823
109,870,823
123,813,821
136,789,821
150,859,806
163,718,802
177,815,800
190,840,790
204,738,795
217,854,794
231,791,797
244,765,803
258,855,794
271,699,789
285,800,799
298,839,790
312,729,793
325,844,797
339,806,788
353,765,798
366,860,792
380,707,788
393,806,802
407,852,796
420,743,800
434,858,809
447,838,803
461,784,811
474,869,812
488,809,810
501,830,825
515,866,821
528,771,824
542,875,835
555,862,830
569,809,835
582,878,840
596,854,840
609,852,849
623,877,846
636,832,848
650,883,858
663,875,853
677,825,856
691,883,861
704,872,861
718,864,864
731,882,864
745,861,865
758,886,871
772,880,867
785,832,868
799,885,872
812,875,871
826,862,872
839,883,870
853,864,871
866,885,873
880,879,867
893,823,868
907,883,871
920,871,868
934,845,868
947,880,865
961,851,865
974,875,866
988,873,858
1001,795,858
1016,841,862
1031,861,855
1045,870,846
1060,874,843
1074,870,840
1089,820,842
1103,778,842
1118,743,840
1133,832,840
1147,854,828
1162,865,814
1176,856,814
1191,805,821
1205,763,824
1220,723,823
1234,771,816
1249,833,804
1264,854,790
1278,850,786
1293,799,793
1307,759,805
1322,722,808
1336,691,803
1351,817,793
1365,847,781
1380,857,773
1395,817,781
1409,777,795
1424,742,805
1438,714,805
1453,820,798
1467,852,789
1482,865,784
1497,854,792
1511,813,806
1526,779,821
1540,750,825
1555,838,822
1569,862,815
1584,872,812
1598,877,819
1613,853,830
1628,816,844
1642,788,848
1657,855,848
1671,871,844
1686,878,840
1700,882,845
1715,880,853
1729,848,862
1744,823,865
1759,865,866
1773,875,864
1788,881,860
1802,884,860
1817,885,865
1831,868,871
1846,831,873
1861,865,873
1875,876,872
1890,880,866
1904,883,864
1919,884,866
1933,878,870
1948,833,871
1962,847,872
1977,867,870
1992,874,864
2006,878,858
2021,880,858
2035,871,862
2050,825,863
2064,789,864
2079,841,861
2093,860,854
2108,869,842
2123,874,838
2137,857,841
2152,810,844
2166,769,845
2181,751,842
2195,832,834
2210,853,821
2225,864,807
2239,843,809
2254,794,816
2268,754,820
2283,715,818
2297,781,810
2312,836,797
2326,853,784
2341,840,782
2356,793,791
2370,753,804
2385,717,806
2399,715,801
2414,823,790
2428,850,779
2443,858,777
2457,812,786
2472,774,801
2487,741,809
2501,712,808
2516,830,801
2530,856,793
2545,867,792
2559,851,801
2574,811,815
2589,777,827
2603,771,830
2618,846,826
2632,865,819
2647,874,819
2661,878,826
2676,850,838
2690,814,848
2705,817,851
2720,860,851
2734,873,846
2749,879,844
2763,882,849
2778,880,858
2792,843,864
2807,840,867
2821,868,868
2836,877,865
2851,881,861
2865,883,863
2880,885,868
2894,862,872
2909,831,873
2923,867,874
2938,876,871
2953,880,866
2967,882,864
2982,884,867
2996,868,870
3011,825,871
3025,848,871
3040,866,868
3054,873,861
3069,878,856
3084,880,856
3098,861,860
3113,815,861
3127,779,862
3142,840,858
3156,859,850
3171,868,837
3185,872,834
3200,846,838
3215,799,841
3229,759,842
3244,763,838
3258,833,829
3273,853,815
3287,863,803
3302,832,805
3317,784,814
3331,745,818
3346,707,815
3360,792,806
3375,837,793
3389,855,780
3404,832,781
3418,786,790
3433,748,804
3448,712,805
3462,751,799
3477,831,788
3491,853,777
3506,856,778
3520,810,789
3535,772,804
3549,739,812
