Time,Light
799,77
800,79
801,77
802,79
803,77
804,79
805,77
806,79
807,77
808,79
809,77
810,79
811,77
812,80
813,77
814,346
815,77
816,347
817,78
818,346
819,77
820,346
821,77
822,346
823,78
824,346
825,78
826,346
827,78
828,346
829,78
830,76
831,78
832,77
833,78
834,77
835,78
836,77
837,78
838,77
839,79
840,77
841,79
842,77
843,79
844,77
845,79
846,77
847,79
848,77
849,79
850,77
851,79
852,77
853,79
854,77
855,79
856,77
857,79
858,78
859,80
860,78
861,80
862,78
863,80
864,78
865,346
866,78
867,346
868,78
869,346
870,78
871,346
872,78
873,346
874,79
875,346
876,79
877,346
878,79
879,346
880,79
881,346
882,79
883,346
884,79
885,77
886,80
887,77
888,79
889,77
890,80
891,78
892,80
893,78
894,80
895,78
896,80
897,78
898,80
899,78
900,81
901,79
902,81
903,79
904,81
905,79
906,81
907,79
908,82
909,79
910,82
911,79
912,346
913,79
914,82
915,79
916,346
917,80
918,346
919,80
920,346
921,80
922,346
923,80
924,346
925,80
926,346
927,79
928,346
929,80
930,346
931,80
932,346
933,80
934,346
935,81
936,79
937,81
938,79
939,81
940,79
941,81
942,79
943,82
944,80
945,82
946,79
947,82
948,80
949,82
950,79
951,82
952,80
953,83
954,80
955,83
956,80
957,83
958,80
959,84
960,81
961,346
962,80
963,346
964,81
965,347
966,81
967,346
968,81
969,346
970,81
971,346
972,82
973,346
974,82
975,346
976,82
977,347
978,82
979,346
980,82
981,346
982,82
983,346
984,82
985,346
986,82
987,346
988,83
989,80
990,83
991,81
992,83
993,81
994,83
995,346
996,84
997,82
998,84
999,82
1000,85
1001,82
1002,84
1003,82
1004,86
1005,82
1006,85
1007,82
1008,346
1009,82
1010,346
1011,83
1012,346
1013,82
1014,346
1015,83
1016,346
1017,83
1018,346
1019,83
1020,346
1021,83
1022,346
1023,84
1024,346
1025,84
1026,346
1027,84
1028,346
1029,84
1030,346
1031,85
1032,346
1033,85
1034,347
1035,85
1036,346
1037,86
1038,346
1039,86
1040,346
1041,86
1042,346
1043,87
1044,346
1045,87
1046,83
1047,86
1048,84
1049,87
1050,346
1051,87
1052,83
1053,88
1054,84
1055,88
1056,84
1057,346
1058,85
1059,347
1060,85
1061,346
1062,85
1063,346
1064,85
1065,346
1066,85
1067,346
1068,86
1069,347
1070,86
1071,346
1072,86
1073,346
1074,86
1075,346
1076,87
1077,346
1078,87
1079,346
1080,88
1081,346
1082,87
1083,346
1084,87
1085,346
1086,89
1087,346
1088,88
1089,346
1090,89
1091,346
1092,89
1093,346
1094,90
1095,346
1096,89
1097,86
1098,91
1099,346
1100,90
1101,86
1102,91
1103,86
1104,91
1105,86
1106,91
1107,87
1108,346
1109,87
1110,347
1111,88
1112,346
1113,88
1114,346
1115,88
1116,346
1117,88
1118,346
1119,89
1120,346
1121,89
1122,346
1123,89
1124,346
1125,90
1126,346
1127,90
1128,346
1129,91
1130,346
1131,90
1132,346
1133,91
1134,346
1135,91
1136,346
1137,91
1138,346
1139,92
1140,346
1141,93
1142,346
1143,92
1144,346
1145,93
1146,346
1147,94
1148,346
1149,95
1150,346
1151,94
1152,90
1153,346
1154,346
1155,346
1156,346
1157,346
1158,90
1159,346
1160,91
1161,346
1162,91
1163,346
1164,91
1165,346
1166,91
1167,346
1168,92
1169,346
1170,92
1171,346
1172,93
1173,346
1174,92
1175,346
1176,93
1177,346
1178,94
1179,347
1180,94
1181,346
1182,94
1183,346
1184,94
1185,347
1186,95
1187,346
1188,95
1189,346
1190,95
1191,346
1192,95
1193,346
1194,96
1195,346
1196,97
1197,346
1198,96
1199,346
1200,97
1201,346
1202,346
1203,346
1204,346
1205,346
1206,346
1207,92
1208,346
1209,93
1210,346
1211,93
1212,346
1213,93
1214,346
1215,93
1216,346
1217,94
1218,346
1219,94
1220,346
