Time,Light,Avg
6632,235,369
6647,117,345
6661,179,341
6676,362,361
6690,560,396
6705,636,422
6719,574,427
6734,397,403
6749,195,364
6763,116,337
6778,181,333
6792,364,353
6807,562,388
6821,638,415
6836,574,419
6850,360,392
6865,196,353
6880,119,326
6894,184,326
6909,367,350
6923,562,390
6938,634,417
6952,538,416
6967,363,388
6981,195,350
6996,120,326
7011,180,326
7025,404,351
7040,570,390
7054,603,412
7069,535,408
7083,358,380
7098,195,345
7113,122,322
7127,179,322
7142,401,352
7156,532,391
7171,600,414
7185,542,409
7200,364,385
7214,189,350
7229,116,326
7244,221,330
7258,405,360
7273,531,394
7287,602,412
7302,534,407
7316,358,382
7331,198,348
7345,163,330
7360,228,335
7375,412,365
7389,532,396
7404,602,415
7418,535,414
7433,357,390
7447,233,360
7462,159,341
7477,226,346
7491,371,371
7506,530,402
7520,594,420
7535,538,418
7549,396,397
7564,229,365
7578,162,346
7593,219,347
7608,364,368
7622,527,398
7637,591,416
7651,569,417
7666,388,395
7680,226,364
7695,155,342
7709,183,339
7724,368,361
7739,527,391
7753,633,413
7768,568,414
7782,389,394
7797,225,360
7811,116,334
7826,190,332
7841,369,355
7855,536,390
7870,633,416
7884,573,419
7899,396,398
7913,191,360
7928,123,333
7942,185,331
7957,370,358
7972,534,393
7986,634,419
8001,574,421
8015,358,391
8030,191,352
8044,126,327
8059,189,329
8073,372,356
8088,574,391
8103,636,416
8117,536,413
8132,355,384
8146,190,346
8161,121,324
8175,191,327
8190,379,354
8205,578,392
8219,604,417
8234,531,414
8248,351,385
8263,185,351
8277,119,329
8292,196,331
8306,419,361
8321,580,398
8336,603,419
8350,532,413
8365,350,383
8379,185,349
8394,158,327
8408,229,333
8423,413,364
8437,540,402
8452,594,420
8467,523,413
8481,345,388
8496,216,354
8510,156,335
8525,231,342
8539,417,371
8554,539,405
8569,598,422
8583,527,414
8598,384,388
8612,220,357
8627,157,339
8641,228,345
8656,411,372
8670,535,402
8685,591,420
8700,521,413
8714,385,391
8729,218,360
8743,161,342
8758,232,345
8772,374,367
8787,538,398
8801,591,415
8816,555,412
8831,381,389
8845,214,358
8860,159,337
8874,196,337
8889,380,360
8903,543,391
8918,595,411
8933,559,411
8947,378,389
8962,214,359
8976,116,334
8991,193,334
9005,382,357
9020,543,392
9034,599,413
9049,564,413
9064,344,391
9078,182,353
9093,122,328
9107,200,328
9122,381,355
9136,543,389
9151,639,410
9165,562,410
9180,347,384
9195,182,346
9209,118,322
9224,198,326
9238,387,353
9253,585,387
9267,640,411
9282,526,407
9297,344,381
9311,181,343
9326,119,323
9340,198,326
9355,420,354
9369,584,391
9384,636,415
9398,523,411
9413,346,381
9428,179,346
9442,120,326
9457,238,329
9471,422,360
9486,583,398
9500,600,422
9515,519,414
9529,342,383
9544,177,348
9559,162,328
9573,241,336
9588,425,366
9602,586,404
9617,596,424
9631,519,415
9646,338,384
9661,213,350
9675,158,333
9690,242,342
9704,420,373
9719,545,407
9733,590,424
9748,517,415
9762,370,384
9777,207,354
9792,153,338
9806,240,346
9821,419,373
9835,543,404
9850,588,420
9864,514,411
9879,368,384
9893,205,354
9908,153,338
9923,202,342
9937,382,366
9952,543,397
9966,591,412
9981,511,407
9995,371,384
10010,207,354
10026,115,332
10041,123,324
10057,181,326
10072,201,323
10088,304,315
10104,425,299
10119,480,290
10135,553,296
10150,598,319
10166,601,359
10182,580,405
10197,513,443
10213,422,465
10228,334,480
10244,239,472
10260,173,449
10275,154,415
10291,127,372
10306,146,326
10322,245,293
10338,309,268
10353,390,258
10369,521,268
10384,555,287
10400,599,324
10416,637,367
10431,575,408
10447,554,449
10462,419,475
10478,334,481
10494,277,476
10509,172,452
10525,115,414
10540,160,374
10556,138,329
10572,212,291
10587,348,270
10603,394,256
10618,485,269
10634,592,296
10650,598,330
10665,630,376
10681,607,425
10696,510,459
10712,447,487
10728,368,500
10743,235,487
10759,206,466
10774,149,425
10790,120,377
10806,176,335
10821,208,295
10837,305,271
10852,432,265
10868,486,270
10884,548,295
10899,638,335
10915,592,375
10930,610,424
10946,544,465
10962,407,486
10977,367,498
10993,274,484
11008,162,456
11024,157,422
11040,122,375
11055,144,327
11071,252,293
11086,311,266
11102,400,254
11118,527,267
11133,559,288
11149,598,326
11164,632,370
11180,575,411
11196,505,449
11211,407,473
11227,326,479
11242,237,469
11258,166,444
11274,118,403
11289,127,363
11305,144,319
11320,219,283
11336,352,264
11352,404,255
11367,496,265
11383,596,293
11398,606,331
11414,592,375
11430,615,423
11445,504,456
11461,410,479
11476,362,488
11492,231,474
11508,205,452
11523,154,414
11539,128,367
11554,187,326
11570,218,289
11586,321,261
11601,437,257
11617,488,268
11632,555,293
11648,639,334
11664,592,374
11679,571,422
11695,540,462
11710,406,481
11726,358,494
11742,264,487
11757,160,457
11773,153,422
11788,162,382
11804,143,334
11820,258,301
11835,355,274
11851,402,263
11866,529,278
11882,559,299
11898,598,333
11913,625,380
11929,570,421
11944,500,456
11960,439,483
11976,319,487
11991,267,480
12007,199,457
12022,114,415
12038,157,375
12054,190,330
12069,217,291
12085,363,272
12100,403,262
12116,493,269
12132,601,299
12147,600,334
12163,590,375
12178,605,423
12194,501,455
12210,397,479
12225,359,487
12241,230,472
12256,158,445
12272,117,406
12288,129,358
12303,153,314
12319,223,278
12334,330,252
12350,411,249
12366,499,261
12381,566,287
12397,645,330
12412,598,374
12428,565,418
12444,538,459
12459,396,482
12475,321,489
12490,268,481
12506,158,450
12522,122,411
12537,169,367
12553,151,319
12568,263,288
12584,366,266
12600,408,256
12615,535,271
12631,564,298
12646,600,333
12662,634,380
12678,567,423
12693,492,459
12709,436,484
12724,310,487
12740,221,478
12756,194,455
12771,111,411
12787,160,370
12802,195,330
12818,225,291
12834,368,273
12849,446,271
12865,497,280
12880,603,310
12896,633,345
12912,588,384
12927,602,432
12943,493,463
12958,392,482
12974,351,491
12990,224,475
13005,156,447
13021,151,412
13036,118,363
13052,189,324
13068,269,293
13083,329,268
13099,453,267
13114,540,279
13130,562,303
13146,642,345
13161,590,387
13177,558,426
13192,526,466
13208,395,483
13224,308,486
13239,259,477
13255,152,446
13270,114,407
13286,162,362
13302,156,316
13317,236,281
13333,333,260
13348,421,251
13364,507,264
13380,566,292
13395,606,326
13411,599,375
13426,566,418
13442,491,453
13458,434,478
13473,311,483
13489,221,471
13504,195,447
13520,118,408
13536,131,362
13551,203,323
13567,233,284
13582,336,268
13598,455,263
13614,505,272
13629,604,304
13645,643,342
13660,594,383
13676,596,430
13692,485,465
13707,390,482
13723,347,491
13738,223,473
13754,154,444
13770,155,409
13785,121,360
13801,156,321
13816,275,290
13832,334,265
13848,454,265
13863,537,282
13879,565,306
13894,639,349
13910,629,398
13926,552,437
13941,525,475
13957,426,492
13972,301,493
13988,255,483
14004,146,450
14019,115,407
14035,159,365
14050,160,318
14066,234,284
14082,375,266
14097,415,259
14113,505,276
14128,606,307
14144,597,343
14160,625,392
14175,556,435
14191,487,466
14206,428,490
14222,301,492
14238,219,474
14253,188,449
14269,118,407
14284,123,358
14300,200,319
14316,240,281
14331,341,261
14347,457,257
14362,508,267
14378,571,295
14394,601,335
14409,590,377
14425,560,420
14440,488,454
14456,391,471
14472,305,479
14487,223,466
14503,154,436
14518,155,401
14534,129,356
14550,167,313
14565,281,283
14581,344,262
14596,421,259
14612,547,276
14628,571,301
14643,604,345
14659,627,390
14674,554,429
14690,525,467
14706,427,487
14721,301,488
14737,257,478
14752,148,447
14768,117,404
14784,161,363
14799,162,316
14815,243,282
14830,380,265
14846,419,258
14862,507,275
14877,607,307
14893,599,343
14908,623,392
14924,586,439
14940,480,469
