Time,Light,Avg
5,516,492
11,286,276
17,865,864
23,371,387
29,379,368
35,894,895
40,292,304
46,534,519
52,824,841
58,182,185
71,671,685
83,889,887
96,444,429
108,214,217
122,532,545
135,845,846
149,817,806
162,401,387
176,172,172
189,410,424
203,742,752
216,881,877
230,568,555
243,178,176
257,281,292
270,667,646
284,846,846
297,677,665
311,274,266
324,203,208
338,529,542
351,834,836
365,798,786
379,416,366
392,161,160
406,410,423
419,740,748
433,835,864
446,550,536
460,169,167
473,280,293
487,634,645
500,839,839
514,660,647
527,261,253
541,164,169
554,532,545
568,830,831
581,784,772
595,366,353
608,156,155
622,416,430
635,742,750
649,828,821
662,536,487
676,162,161
689,249,263
703,639,649
717,836,835
730,648,633
744,251,240
757,164,170
771,538,516
784,827,828
798,737,724
811,353,341
825,152,151
838,421,435
852,744,756
865,818,811
879,521,507
892,157,156
906,253,265
919,641,654
933,829,830
946,630,618
960,237,222
973,162,169
987,543,558
1000,821,822
1015,809,802
1030,624,611
1044,371,360
1059,187,185
1073,161,169
1088,390,404
1102,643,654
1117,818,818
1131,837,829
1146,615,601
1161,361,349
1175,180,179
1190,158,166
1204,390,404
1219,643,654
1233,848,848
1248,830,821
1263,605,592
1277,352,340
1292,140,140
1306,158,167
1321,392,405
1335,678,689
1350,845,845
1364,824,814
1379,595,582
1394,309,332
1408,135,135
1423,158,168
1437,393,407
1452,680,691
1466,843,843
1481,816,806
1495,553,575
1510,302,290
1525,133,132
1539,162,173
1554,433,411
1568,684,695
1583,842,842
1597,775,799
1612,546,534
1627,295,284
1641,131,130
1656,164,175
1670,439,450
1685,687,698
1699,805,807
1714,772,760
1728,540,528
1743,290,279
1758,130,129
1772,168,178
1787,443,455
1801,657,668
1816,805,806
1830,766,755
1845,534,522
1859,284,273
1874,128,128
1889,207,216
1903,413,458
1918,659,670
1932,804,805
1947,760,751
1961,526,516
1976,277,266
1991,162,161
2005,209,217
2020,414,425
2034,661,672
2049,802,803
2063,753,746
2078,519,508
2092,306,294
2107,158,157
2122,210,218
2136,415,426
2151,662,674
2165,799,800
2180,746,737
2194,546,536
2209,297,284
2223,155,154
2238,175,218
2253,416,427
2267,663,675
2282,795,796
2296,774,766
2311,539,527
2325,288,276
2340,150,150
2355,174,182
2369,417,429
2384,665,677
2398,828,829
2413,768,760
2427,532,520
2442,281,268
2456,111,147
2471,173,182
2486,418,430
2500,701,678
2515,824,824
2529,762,753
2544,523,513
2558,238,225
2573,109,108
2587,175,184
2602,422,434
2617,707,684
2631,827,827
2646,761,753
2660,488,474
2675,235,222
2689,112,110
2704,182,192
2719,430,443
2733,714,725
2748,828,829
2762,724,714
2777,484,470
2791,231,219
2806,112,112
2820,185,196
2835,470,448
2850,719,729
2864,793,793
2879,720,708
2893,478,464
2908,225,215
2922,111,110
2937,188,201
2951,475,488
2966,688,732
2981,792,793
2995,715,703
3010,472,459
3024,220,212
3039,109,109
3053,227,239
3068,478,491
3083,689,697
3097,791,791
3112,709,696
3126,464,450
3141,213,205
3155,142,142
3170,229,241
3184,480,493
3199,690,698
3214,788,788
3228,701,688
3243,456,442
3257,243,234
3272,139,138
3286,229,240
3301,446,494
3315,688,697
3330,783,784
3345,692,679
3359,481,466
3374,234,224
3388,135,136
3403,235,246
3417,450,464
3432,691,702
3447,784,783
3461,722,710
3476,477,464
3490,234,221
3505,136,136
3519,201,214
3534,454,468
3548,693,706
3563,817,783
3578,717,706
3592,471,456
3607,226,212
3621,97,97
3634,458,473
3648,696,711
3663,783,782
3677,712,667
3692,466,451
3707,223,207
3721,98,98
3734,463,478
3748,702,716
3763,781,782
3777,673,661
3792,462,445
3806,219,202
3821,99,99
3833,469,485
3848,707,722
3863,783,783
3877,670,657
3892,422,406
3906,213,198
3921,99,135
3934,354,368
3949,642,619
3963,813,814
3978,760,752
3993,534,521
4007,282,270
4022,105,104
4036,125,135
4051,360,373
4065,647,658
4080,779,815
4094,757,747
4109,527,514
4124,276,265
4138,103,102
4153,127,137
4167,399,412
4182,651,661
4196,777,813
4211,751,740
4225,521,508
4240,270,258
4255,136,98
4268,232,247
4283,490,505
4297,724,731
4312,812,813
4326,678,663
4341,425,409
4355,185,178
4370,91,90
4383,494,509
4397,725,732
4412,812,777
4426,671,656
4441,417,402
4455,182,173
4470,90,127
4483,408,420
4498,657,667
4513,808,808
4527,733,723
4542,500,489
4556,251,240
4571,129,91
4584,245,259
4599,504,519
4613,728,740
4628,810,809
4643,658,642
4657,404,389
4672,175,157
4686,89,90
4699,509,524
4713,733,747
4728,775,774
4742,651,635
4757,397,383
4771,169,152
4786,90,89
4799,515,530
4813,738,754
4828,777,777
4842,612,597
4857,393,378
4871,166,149
4886,90,90
4898,523,539
4913,747,760
4927,779,777
4942,609,593
4957,389,339
4971,158,144
4986,92,92
4998,530,546
5013,753,765
5027,777,777
5042,603,588
5056,348,334
5071,153,143
5086,96,132
5099,405,418
5114,688,666
5128,814,815
5143,718,745
5157,478,466
5172,226,214
5186,96,95
5199,407,420
5213,657,670
5228,813,813
5243,747,739
5257,473,496
5272,220,207
5286,93,93
5299,411,424
5313,660,672
5328,812,812
5342,742,733
5357,501,488
5372,213,201
5386,90,90
5399,413,427
5413,662,674
5428,811,810
5442,736,725
5457,493,481
5471,241,231
5486,88,88
5498,417,430
5513,666,676
5528,808,807
5542,731,718
5557,487,474
5571,235,226
5586,86,124
5599,336,351
5614,597,610
5628,799,800
5643,766,762
5658,563,550
5672,306,293
5687,134,96
5700,175,188
5715,427,441
5729,673,681
5744,807,773
5758,721,709
5773,477,463
