Time,Light,Avg
6652,804,838
6666,766,857
6681,733,858
6695,760,813
6710,835,776
6725,857,746
6739,866,804
6754,841,850
6768,803,864
6783,770,872
6797,799,853
6812,850,816
6827,865,783
6841,873,831
6856,874,861
6870,842,872
6885,807,877
6899,832,880
6914,862,852
6928,874,816
6943,878,850
6958,881,870
6972,876,876
6987,835,880
7001,848,882
7016,869,880
7030,876,838
7045,880,856
7059,883,871
7074,883,878
7089,852,881
7103,843,882
7118,868,880
7132,875,848
7147,879,840
7161,881,865
7176,882,873
7191,856,877
7205,820,879
7220,851,880
7234,866,844
7249,873,804
7263,876,839
7278,878,859
7292,849,869
7307,806,872
7322,784,872
7336,843,832
7351,859,789
7365,867,753
7380,872,829
7394,834,852
7409,789,862
7423,750,867
7438,783,815
7453,836,772
7467,854,733
7482,859,757
7496,820,827
7511,775,849
7525,735,856
7540,699,808
7555,803,764
7569,840,726
7584,856,694
7598,821,805
7613,777,841
7627,739,856
7642,705,820
7656,777,778
7671,835,741
7686,854,708
7700,844,802
7715,800,843
7729,765,859
7744,732,854
7758,789,810
7773,841,777
7787,859,744
7802,869,820
7817,839,854
7831,802,867
7846,771,873
7860,819,852
7875,855,815
7889,867,783
7904,875,842
7919,875,865
7933,839,873
7948,805,878
7962,844,880
7977,866,850
7991,875,815
8006,879,856
8020,881,872
8035,871,878
8050,832,881
8064,855,883
8079,871,874
8093,878,835
8108,881,860
8122,883,872
8137,880,878
8151,846,881
8166,849,882
8181,869,880
8195,876,839
8210,879,844
8224,881,865
8239,882,873
8253,847,877
8268,811,879
8283,852,877
8297,866,835
8312,872,795
8326,876,839
8341,876,859
8355,839,868
8370,798,873
8384,791,870
8399,844,821
8414,859,780
8428,868,746
8443,868,830
8457,824,852
8472,780,862
8486,742,855
8501,786,807
8515,837,763
8530,854,724
8545,859,764
8559,811,830
8574,767,850
8588,727,851
8603,694,800
8617,810,756
8632,842,722
8647,854,689
8661,813,813
8676,772,844
8690,735,855
8705,702,814
8719,794,773
8734,840,739
8748,857,709
8763,842,814
8778,799,848
8792,763,862
8807,731,850
8821,807,810
8836,848,774
8850,863,747
8865,868,832
8879,837,859
8894,800,869
8909,770,875
8923,834,851
8938,860,813
8952,870,783
8967,876,852
8981,876,868
8996,838,875
9011,805,879
9025,852,878
9040,869,844
9054,876,815
9069,880,862
9083,882,874
9098,867,879
9112,831,881
9127,860,883
9142,873,868
9156,878,830
9171,881,862
9185,883,874
9200,880,878
9214,840,881
9229,852,883
9243,869,875
9258,876,832
9273,879,845
9287,881,865
9302,878,872
9316,840,877
9331,803,879
9345,852,872
9360,866,825
9375,872,788
9389,875,839
9404,874,859
9418,829,868
9433,788,872
9447,795,859
9462,844,812
9476,859,771
9491,866,747
9506,864,830
9520,812,851
9535,769,862
9549,732,844
9564,795,795
9578,838,754
9593,855,715
9607,852,777
9622,801,833
9637,758,851
9651,721,841
9666,690,792
9680,816,752
9695,846,715
9709,854,712
9724,807,820
9739,767,848
9753,731,857
9768,699,811
9782,808,770
9797,844,737
9811,859,710
9826,837,826
9840,796,852
9855,761,864
9870,731,850
9884,822,806
9899,853,774
9913,865,754
9928,869,842
9942,835,863
9957,800,871
9971,771,875
9986,842,849
10001,864,812
10016,800,876
10032,878,859
10047,865,839
10063,824,878
10079,879,860
10094,865,865
10110,850,879
10125,880,857
10141,864,880
10157,874,878
10172,880,849
10188,861,883
10203,884,877
10219,879,830
10235,850,882
10250,883,875
10266,877,835
10281,827,882
10297,882,870
10313,873,848
10328,834,880
10344,880,860
10359,865,858
10375,844,875
10391,877,837
10406,850,869
10422,852,869
10437,871,780
10453,811,872
10469,859,860
