Time,Light,Avg
6651,837,827
6665,853,817
6680,862,814
6694,862,819
6709,819,829
6724,781,833
6738,755,835
6753,831,831
6767,851,823
6782,860,816
6796,866,819
6811,835,828
6825,794,834
6840,759,836
6855,824,834
6869,849,827
6884,859,817
6898,865,818
6913,851,825
6927,808,834
6942,771,837
6957,814,836
6971,845,831
6986,858,821
7000,864,819
7015,864,825
7029,821,835
7044,782,838
7058,795,840
7073,840,835
7088,855,827
7102,862,822
7117,866,825
7131,833,834
7146,793,839
7160,760,840
7175,833,838
7189,852,830
7204,860,820
7219,866,822
7233,845,830
7248,802,835
7262,765,838
7277,819,836
7291,847,830
7306,858,819
7321,864,818
7335,857,824
7350,810,833
7364,773,836
7379,795,836
7393,839,831
7408,853,821
7422,862,817
7437,862,821
7452,820,830
7466,780,835
7481,749,836
7495,830,832
7510,849,823
7524,859,814
7539,864,816
7553,831,825
7568,790,830
7583,753,833
7597,818,830
7612,845,822
7626,857,811
7641,863,812
7655,844,819
7670,801,829
7685,763,832
7699,800,831
7714,840,825
7728,855,815
7743,862,813
7757,860,819
7772,814,829
7786,775,833
7801,780,835
7816,836,830
7830,853,821
7845,861,816
7859,864,820
7874,830,829
7888,789,835
7903,756,837
7917,830,834
7932,851,827
7947,860,817
7961,865,819
7976,845,827
7990,802,834
8005,766,837
8019,822,836
8034,848,830
8049,858,820
8063,864,820
8078,860,826
8092,815,835
8107,777,839
8121,806,839
8136,843,834
8150,856,825
8165,863,821
8180,864,826
8194,827,835
8209,787,839
8223,779,840
8238,837,836
8252,853,828
8267,862,821
8281,867,824
8296,838,832
8311,796,837
8325,762,839
8340,824,836
8354,849,829
8369,859,818
8383,864,819
8398,848,825
8413,804,832
8427,767,835
8442,806,834
8456,842,828
8471,855,818
8485,863,816
8500,861,821
8514,813,831
8529,775,834
8544,774,835
8558,833,830
8573,851,821
8587,860,814
8602,864,818
8616,824,827
8631,784,832
8645,751,834
8660,824,830
8675,848,822
8689,858,811
8704,864,813
8718,837,821
8733,795,829
8747,759,832
8762,811,830
8777,843,823
8791,856,813
8806,862,812
8820,854,819
8835,808,830
8849,772,833
8864,795,834
8878,839,828
