Time,Light,Avg
5,846,346
11,875,514
17,871,667
23,862,823
29,847,813
35,799,811
41,769,817
47,801,837
52,833,853
60,872,855
73,839,855
85,799,853
98,763,853
110,731,850
124,831,852
137,845,834
151,750,834
164,862,816
178,801,804
191,774,806
205,856,797
218,703,787
232,803,798
245,837,789
259,729,790
272,844,802
286,795,792
299,761,797
313,855,791
327,699,781
340,799,794
354,844,789
367,733,790
381,848,811
394,822,805
408,772,810
421,864,806
435,761,800
448,817,808
462,859,805
475,754,807
489,870,831
502,851,827
516,796,830
529,873,843
543,836,839
556,841,844
570,871,841
583,791,843
597,880,851
610,869,846
624,817,848
637,880,862
651,863,860
665,859,862
678,879,865
692,851,866
705,884,869
719,878,862
732,831,863
746,884,870
759,874,868
773,864,869
786,882,874
800,864,874
813,885,875
827,880,866
840,828,867
854,883,869
867,874,865
881,854,865
894,881,870
908,859,870
921,880,871
935,876,861
948,810,861
962,881,863
975,865,854
989,829,854
1003,876,856
1017,878,852
1032,850,852
1046,805,859
1061,767,858
1075,835,859
1090,856,846
1104,866,822
1119,871,811
1134,834,806
1148,789,812
1163,748,827
1177,752,840
1192,829,832
1206,852,809
1221,862,778
1235,821,769
1250,776,775
1265,737,792
1279,700,807
1294,793,820
1308,838,802
1323,855,772
1337,828,761
1352,783,767
1367,745,785
1381,712,804
1396,773,822
1410,835,812
1425,856,787
1439,857,776
1454,811,779
1468,775,794
1483,743,818
1498,791,839
1512,845,836
1527,863,819
1541,871,812
1556,853,810
1570,814,819
1585,780,836
1599,825,858
1614,859,858
1629,871,845
1643,877,841
1658,880,839
1672,850,841
1687,814,852
1701,847,870
1716,869,872
1731,877,863
1745,881,860
1760,883,859
1774,881,858
1789,838,863
1803,855,875
1818,872,880
1832,879,872
1847,882,868
1862,883,867
1876,884,865
1891,851,865
1905,843,874
1920,867,879
1934,875,872
1949,879,863
1963,881,860
1978,883,857
1993,850,857
2007,809,864
2022,845,873
2036,863,867
2051,870,852
2065,875,842
2080,878,837
2095,839,835
2109,796,842
2124,760,857
2138,835,857
2153,855,842
2167,865,817
2182,867,806
2196,822,801
2211,779,808
2226,740,824
2240,762,837
2255,830,826
2269,852,801
2284,858,776
2298,812,770
2313,769,779
2327,729,797
2342,695,813
2357,802,819
2371,841,799
2386,857,768
2400,820,759
2415,777,767
2429,741,785
2444,708,805
2459,792,823
2473,842,811
2488,858,786
2502,852,777
2517,808,783
2531,773,798
2546,742,822
2560,810,842
2575,850,837
2590,865,818
2604,873,813
2619,849,812
2633,812,822
2648,779,840
2662,836,861
2677,863,859
2691,873,845
2706,878,842
2721,880,841
2735,847,843
2750,814,854
2764,854,872
2779,871,872
2793,877,863
2808,881,860
2823,883,859
2837,875,858
2852,834,864
2866,860,876
2881,873,878
2895,878,870
2910,881,866
2924,883,865
2939,880,864
2954,844,865
2968,846,875
2983,868,878
2997,875,870
3012,878,862
3026,880,858
3041,880,856
3055,841,855
3070,803,864
3085,845,871
3099,862,864
3114,870,847
3128,874,838
3143,873,833
3157,828,832
3172,786,841
3187,754,855
3201,834,851
3216,854,834
3230,864,808
3245,864,797
3259,811,795
3274,769,805
3288,730,820
3303,773,832
3318,832,819
3332,852,793
3347,856,772
3361,803,769
3376,761,780
3390,722,798
3405,691,814
3419,811,815
3434,844,794
3449,854,762
3463,815,756
3478,774,766
3492,738,786
3507,706,806
3521,807,824
3536,845,810
3551,860,784
3565,849,778
3580,807,785
3594,772,802
3609,743,826
3623,826,846
3638,855,837
3652,867,819
3667,874,815
3682,848,816
3696,810,826
3711,780,845
3725,846,863
3740,866,858
3754,874,849
3769,879,846
3783,878,845
3798,844,849
3813,812,861
3827,860,874
3842,872,872
3856,879,864
3871,882,862
3885,884,861
3900,869,861
3915,831,867
3929,863,877
3944,874,877
3958,879,868
3973,882,865
3987,883,863
4002,881,862
4016,837,865
4031,849,875
4046,867,876
4060,874,867
4075,878,859
4089,880,855
4104,880,852
4118,832,853
4133,795,864
4147,844,869
4162,862,859
4177,870,841
4191,874,832
4206,867,827
4220,819,828
4235,776,838
4249,766,852
4264,835,847
4279,854,828
4293,864,799
4308,851,790
4322,802,790
4337,760,802
4351,722,817
4366,782,830
4380,834,815
4395,853,787
4410,844,768
4424,795,767
4439,753,780
4453,718,798
4468,694,815
4482,818,811
4497,846,788
4511,856,764
4526,810,762
4541,771,774
4555,736,796
4570,707,816
4584,819,826
4599,850,810
4613,864,790
4628,845,786
4643,805,794
4657,771,812
4672,742,834
4686,836,847
4701,859,836
4715,869,825
4730,875,821
4744,845,823
4759,809,834
4774,790,854
4788,853,865
4803,868,859
4817,876,852
4832,879,849
4846,878,848
4861,841,853
4875,825,865
4890,864,875
4905,875,871
4919,879,866
4934,882,863
4948,883,863
4963,863,863
4977,826,870
4992,865,878
5007,875,876
5021,879,868
5036,881,864
5050,883,862
5065,872,861
5079,829,865
5094,851,875
5108,868,874
5123,874,863
5138,877,855
5152,879,852
5167,869,849
5181,823,852
5196,787,864
5210,845,866
5225,861,855
5239,869,834
5254,873,825
5269,855,820
5283,808,823
5298,768,836
5312,772,849
5327,835,842
5341,855,821
5356,863,795
5371,841,786
5385,792,789
5400,751,802
5414,713,817
5429,791,826
5443,836,809
5458,853,780
5472,836,765
5487,787,767
5502,748,782
5516,712,801
5531,734,817
5545,824,810
5560,849,785
5574,854,767
5589,806,768
