Time,Light,Avg
6635,866,827
6650,844,826
6664,804,827
6679,770,830
6693,815,833
6708,847,832
6723,859,829
6737,865,827
6752,859,826
6766,816,826
6781,781,828
6795,801,832
6810,842,834
6824,858,831
6839,865,829
6854,866,828
6868,832,827
6883,794,829
6897,777,833
6912,838,837
6926,856,835
6941,864,832
6955,869,831
6970,845,830
6985,806,831
6999,775,835
7014,831,838
7028,853,838
7043,862,834
7057,868,832
7072,859,832
7087,817,832
7101,781,835
7116,818,839
7130,849,839
7145,861,836
7159,867,834
7174,866,833
7188,828,833
7203,790,835
7218,797,838
7232,844,840
7247,857,837
7261,864,835
7276,868,833
7290,837,833
7305,798,834
7319,767,837
7334,832,840
7349,852,838
7363,861,834
7378,867,832
7392,847,831
7407,807,831
7421,771,834
7436,817,837
7451,847,836
7465,859,832
7480,866,830
7494,859,829
7509,815,829
7523,778,831
7538,792,834
7552,840,835
7567,856,831
7582,864,828
7596,864,827
7611,826,827
7625,788,828
7640,751,832
7654,832,835
7669,852,833
7683,862,829
7698,866,827
7713,838,827
7727,799,827
7742,765,831
7756,822,834
7771,849,833
7785,860,829
7800,866,827
7815,854,827
7829,812,827
7844,777,830
7858,811,833
7873,846,834
7887,859,831
7902,866,829
7916,870,828
7931,826,828
7946,790,830
7960,794,834
7975,842,837
7989,857,834
8004,865,832
8018,868,831
8033,840,830
8047,801,832
8062,771,835
8077,836,839
8091,854,838
8106,864,834
8120,868,832
8135,852,832
8149,812,833
8164,777,835
8179,826,839
8193,851,839
8208,862,835
8222,867,834
8237,866,833
8251,822,833
8266,785,835
8280,808,838
8295,845,839
8310,858,836
8324,865,834
8339,866,833
8353,831,832
8368,793,833
8382,771,837
8397,835,840
8411,854,837
8426,863,833
8441,868,832
8455,840,831
8470,800,832
8484,767,834
8499,823,837
8513,849,836
8528,860,831
8543,866,829
8557,850,829
8572,809,829
8586,773,831
8601,804,834
8615,843,834
8630,857,830
8644,864,828
8659,864,827
8674,820,827
8688,784,828
8703,775,832
8717,837,834
8732,854,831
8746,863,828
8761,864,827
8775,833,826
8790,794,828
8805,763,831
8819,829,834
8834,851,833
8848,861,828
8863,867,827
8877,847,826
8892,807,827
8907,772,830
8921,820,834
8936,848,834
8950,860,830
8965,867,828
8979,864,828
8994,821,828
9008,784,830
9023,806,834
9038,845,836
9052,859,833
9067,865,831
9081,866,830
9096,832,830
9110,796,832
9125,783,836
9139,840,839
9154,856,837
9169,864,834
9183,868,833
9198,846,833
9212,806,834
9227,774,837
9241,831,840
9256,853,839
9271,862,835
9285,868,834
9300,858,833
9314,816,833
9329,780,836
9343,816,839
9358,848,839
9372,860,835
9387,866,833
9402,870,832
9416,824,832
9431,787,834
9445,787,837
9460,840,838
9474,856,836
9489,863,832
9503,865,831
9518,833,830
9533,795,831
9547,763,834
9562,829,837
9576,851,835
9591,861,830
9605,866,829
9620,843,828
9635,803,828
9649,768,831
9664,813,835
9678,846,834
9693,858,829
9707,864,827
9722,857,826
9736,814,826
9751,778,828
9766,792,832
9780,840,833
9795,855,830
9809,864,827
9824,864,826
9838,826,826
9853,789,827
9867,759,831
9882,833,835
9897,853,832
9911,863,829
9926,867,827
9940,841,827
9955,801,828
9969,770,831
9984,826,835
9999,852,834
10013,861,830
10029,792,831
10044,850,830
10060,858,827
10075,773,830
10091,871,833
10107,854,833
10122,785,835
10138,870,834
10153,860,832
10169,802,832
10185,869,832
10200,840,834
10216,824,839
10231,866,837
10247,826,837
10263,832,837
10278,861,832
10294,799,833
10309,849,835
10325,858,836
10341,767,836
10356,869,836
10372,853,836
10387,780,836
10403,867,835
10419,846,836
10434,795,835
10450,865,834
10465,835,834
10481,810,834
10497,863,832
10512,818,833
10528,826,832
10543,859,830
10559,779,831
10575,843,830
10590,855,831
10606,761,831
10621,862,830
10637,849,831
10653,774,830
10668,866,830
10684,842,830
10699,789,830
10715,864,829
10731,830,829
10746,805,829
10762,861,827
10777,812,828
10793,823,828
10809,858,826
10824,774,827
10840,841,826
10855,854,827
10871,761,827
10887,863,827
10902,849,827
10918,776,827
10933,866,827
10949,844,828
10965,792,828
10980,864,827
10996,834,828
11011,809,828
11027,863,827
11043,819,828
11058,828,828
11074,860,827
11089,793,829
11105,848,829
11121,858,830
11136,767,830
11152,870,830
11167,853,831
11183,782,831
11199,868,831
11214,847,832
11230,797,832
11245,866,832
11261,839,833
11277,814,833
11292,864,832
11308,824,833
11323,831,833
11339,861,832
11355,798,833
11370,849,833
11386,858,833
11401,767,833
11417,869,833
11433,852,834
11448,780,834
11464,867,833
11479,846,834
11495,794,834
11511,865,833
11526,835,833
11542,809,833
11557,862,831
11573,816,832
11589,825,832
11604,859,830
11620,779,830
11635,843,830
11651,854,830
11667,761,830
11682,862,830
11698,848,830
11713,774,830
11729,865,829
11745,842,829
11760,789,829
11776,864,828
11791,830,829
11807,805,828
11823,861,826
11838,812,827
11854,822,827
11869,858,825
11885,773,826
11901,841,826
11916,854,826
11932,761,827
11947,862,826
11963,849,827
11979,775,827
11994,866,827
12010,844,828
12025,792,828
12041,864,827
12057,834,828
12072,810,828
12088,863,827
12103,820,828
12119,828,828
12135,860,828
12150,791,829
12166,847,829
12181,857,830
12197,767,831
12213,869,831
12228,853,832
12244,782,832
12259,868,832
12275,847,833
12291,796,833
12306,866,832
12322,839,833
12337,813,833
12353,864,832
12369,824,833
12384,830,833
12400,861,832
12415,797,833
12431,848,833
12447,857,833
12462,767,833
12478,870,833
12493,852,834
