Time,Light,Avg
6604,182,172
6619,87,87
6631,445,459
6646,721,695
6660,809,808
6675,711,698
6689,428,448
6704,181,170
6718,88,88
6731,445,459
6745,686,696
6760,808,807
6775,709,697
6789,460,445
6804,179,169
6818,88,87
6831,446,460
6845,686,696
6860,807,772
6874,706,695
6889,458,444
6903,178,167
6918,86,88
6931,447,462
6945,686,698
6960,774,773
6974,707,695
6989,458,443
7003,179,202
7018,87,87
7030,448,463
7045,686,698
7059,772,772
7074,705,657
7089,455,441
7103,211,199
7118,85,86
7130,449,463
7145,687,699
7159,772,772
7174,668,656
7188,454,440
7203,212,199
7218,87,124
7231,365,343
7246,621,633
7260,802,804
7275,757,751
7289,536,522
7304,280,269
7318,91,90
7331,331,345
7345,622,633
7360,803,803
7375,758,785
7389,534,521
7404,279,268
7418,91,90
7431,333,346
7445,623,634
7460,803,803
7474,791,783
7489,531,518
7504,277,265
7518,89,88
7531,333,346
7545,623,600
7560,802,803
7574,788,782
7589,531,553
7603,277,265
7618,90,89
7630,336,351
7645,589,601
7660,802,802
7674,789,782
7689,564,551
7703,275,263
7718,90,88
7730,336,350
7745,590,602
7759,802,768
7774,788,780
7789,563,549
7803,274,298
7818,91,89
7830,338,352
7845,592,604
7859,766,767
7874,787,778
7888,561,548
7903,308,296
7917,90,88
7930,340,353
7945,593,605
7959,767,768
7974,785,742
7988,560,546
8003,307,295
8017,90,89
8030,342,355
8044,594,605
8059,767,767
8073,751,742
8088,559,545
8103,306,294
8117,93,127
8131,239,218
8145,496,512
8160,733,747
8174,769,803
8189,655,643
8203,405,390
8218,162,147
8233,85,84
8245,498,514
8260,735,748
8274,805,805
8289,655,642
8303,404,388
8318,161,147
8332,86,85
8345,499,480
8359,736,749
8374,804,804
8389,653,640
8403,402,387
8418,159,145
8432,87,86
8445,464,481
8459,736,749
8474,805,804
8488,686,671
8503,397,382
8518,155,142
8532,84,84
8545,470,486
8559,740,752
8574,804,804
8588,685,671
8603,395,379
8617,153,140
8632,85,85
8644,473,489
8659,744,722
8674,807,807
8688,683,668
8703,392,411
8717,150,137
8732,85,85
8744,477,493
8759,711,723
8773,806,806
8788,680,665
8803,424,409
8817,148,136
8832,84,84
8844,480,496
8859,713,724
8873,806,772
8888,678,663
8902,422,407
8917,146,171
8931,85,85
8944,482,498
8959,716,726
8973,771,771
8988,677,662
9002,421,405
9017,179,170
9031,84,84
9044,486,501
9058,718,728
9073,771,771
9087,673,622
9102,417,400
9117,175,167
9131,84,84
9144,485,501
9158,719,727
9173,770,770
9187,636,620
9202,415,399
9216,175,167
9231,85,121
9245,398,376
9259,649,660
9274,805,806
9288,736,759
9303,500,487
9317,248,236
9332,83,83
9344,364,377
9359,650,661
9373,805,805
9388,770,759
9403,498,486
9417,247,235
9432,84,83
9444,366,379
9459,650,627
9473,805,805
9488,770,758
9502,497,486
9517,246,234
9532,84,83
9544,367,380
9559,617,628
9573,805,805
9588,767,756
9602,531,519
9617,245,233
9631,83,83
9644,368,381
9658,618,630
9673,804,804
9688,766,754
9702,529,517
9717,243,231
9731,83,82
9744,370,383
9758,619,630
9773,803,770
9787,765,753
9802,528,516
9817,243,265
9831,83,83
9844,371,383
9858,621,631
9873,770,770
9887,764,753
9902,528,515
9916,276,265
9931,83,83
9943,372,384
9958,622,633
9973,770,770
9987,763,717
10002,527,515
10017,367,351
10033,240,230
10048,169,159
10064,85,84
10078,276,290
10093,409,386
10109,500,515
10124,659,669
10140,726,736
10156,770,771
10171,805,804
10187,727,716
10202,621,606
10218,526,514
10234,366,349
10249,239,228
10265,169,157
10280,85,84
10294,242,292
10309,411,388
10325,502,516
10341,660,671
10356,727,737
10372,771,772
10387,806,806
10403,726,715
10419,619,604
10434,524,512
10450,363,347
10465,237,226
10481,169,155
10497,85,84
10510,243,259
10526,413,424
10541,505,519
10557,662,672
10573,763,741
10588,770,770
10604,804,804
10619,724,713
10635,617,601
10651,523,510
10666,361,344
10682,236,224
10697,166,151
10713,85,85
10727,246,261
10742,415,427
10758,506,521
10773,628,673
10789,765,778
10805,770,770
10820,804,804
10836,757,712
10851,614,599
10867,521,508
10883,358,342
10898,234,222
10914,164,149
10929,84,83
10943,247,262
10958,415,427
10974,508,523
10990,628,639
11005,765,777
11021,769,769
11036,769,803
11052,755,744
11068,612,596
11083,518,506
11099,355,339
11114,231,220
11130,161,145
11146,84,84
11159,250,266
11175,419,430
11190,511,525
11206,632,642
11222,767,782
11237,767,767
11253,767,767
11268,750,742
11284,606,592
11300,479,503
11315,385,334
11331,227,216
11346,157,141
11362,82,81
11375,253,266
11391,416,427
11407,508,522
11422,628,639
11438,766,780
11453,764,764
11469,764,764
11485,746,738
11500,601,586
11516,475,499
11531,380,363
11547,223,212
