Time,Light,Avg
0,795,0
50,810,165
101,794,327
152,759,483
203,704,627
254,635,757
305,585,711
356,627,679
407,732,666
458,793,671
509,815,697
559,836,740
610,852,778
661,864,805
712,872,829
763,875,847
814,876,858
865,872,862
916,855,858
967,814,850
1018,802,839
1069,785,825
1120,758,807
1171,726,789
1222,679,762
1273,622,725
1324,564,679
1375,550,636
1425,598,609
1476,668,607
1527,729,630
1578,778,675
1629,813,730
1680,847,782
1731,875,823
1782,888,852
1833,890,871
1884,891,883
1935,890,888
1986,888,889
2037,885,888
2088,880,885
2139,869,881
2190,836,874
2241,792,860
2292,734,834
2343,651,793
2394,587,739
2445,613,695
2496,706,679
2547,797,684
2598,835,713
2649,852,761
2700,865,807
2751,874,833
2802,880,853
2853,885,866
2903,886,874
2954,886,879
3005,883,881
3056,877,880
3107,865,875
3158,844,863
3209,795,831
3260,685,793
3311,644,749
3362,595,698
3413,551,644
3464,534,607
3515,566,582
3566,621,578
3617,670,593
3668,712,627
3719,747,671
3770,775,714
3821,799,750
3872,835,779
3923,850,803
3974,850,821
4025,838,833
4076,829,840
4127,820,842
4178,805,838
4229,785,828
4280,756,812
4331,718,789
4381,667,758
4432,603,716
4483,552,668
4534,560,627
4585,627,609
4636,694,614
4687,752,646
4738,797,697
4789,833,754
4840,865,803
4891,884,839
4942,889,863
4993,890,878
5044,890,886
5095,889,888
5146,886,888
5197,882,886
5248,876,883
5299,861,878
5350,827,869
5401,776,852
5452,706,822
5503,618,774
5554,587,721
5605,644,686
5656,743,676
5707,814,688
5758,839,726
5809,855,775
5860,868,814
5911,876,838
5961,881,856
6012,884,868
6063,885,875
6114,884,879
6165,880,881
6216,873,878
6267,859,871
6318,834,856
6369,767,822
6420,668,781
6471,626,734
6522,575,681
6573,538,628
6624,538,594
6675,585,577
6726,638,579
6777,686,602
6828,726,641
6879,758,687
6930,786,728
6981,806,762
7032,841,789
7083,851,811
7134,847,826
7185,835,836
7236,824,841
7287,813,840
7338,795,833
7389,772,821
7440,740,802
7491,697,776
7541,642,741
7592,577,696
7643,549,650
7694,579,617
7745,651,607
7796,716,623
7847,767,663
7898,806,716
7949,841,771
8000,870,815
8051,888,846
8102,889,867
8153,890,881
8204,890,887
8255,888,888
8306,885,888
8357,881,886
8408,870,882
8459,845,875
8510,808,864
8561,754,843
8612,678,807
8663,598,756
8714,601,709
8765,678,682
8816,775,680
8867,826,701
8918,846,745
8969,861,792
9020,871,825
9070,878,846
9121,883,861
9172,885,871
9223,885,877
9274,884,880
9325,879,880
9376,870,876
9427,853,867
9478,823,847
9529,734,811
9580,654,768
9631,609,718
9682,560,664
9733,534,614
9784,551,585
9835,604,575
9886,655,585
9937,699,614
9988,735,656
10039,767,700
10090,811,738
10141,851,769
10192,867,798
10243,874,821
10294,873,839
10345,866,850
10396,853,852
10447,823,839
10498,753,818
10549,722,792
10600,687,761
10651,643,725
10702,592,687
10753,541,643
10804,534,604
10855,573,580
10906,626,577
10957,670,593
11008,708,628
11059,797,670
11110,844,718
11161,863,761
11212,874,799
11263,880,832
11314,882,858
11365,880,870
11416,874,873
11467,865,870
11518,849,861
11569,820,841
11620,758,806
11671,655,765
11722,607,716
11773,561,663
11824,532,614
11875,545,583
11926,589,570
11977,653,576
12028,776,600
12079,829,653
12130,855,712
12181,869,766
12232,878,813
12283,882,852
12334,885,868
12385,886,876
12436,883,880
12487,879,880
12538,871,877
12589,859,870
12640,842,859
12691,813,838
12742,769,801
12793,710,745
12844,645,683
12896,614,624
12947,693,580
12998,769,583
13049,815,623
13100,844,681
13151,862,746
13202,873,808
13253,880,842
13304,884,862
13355,887,873
13406,888,879
13457,887,883
13508,885,884
13559,881,883
13610,874,881
13661,865,875
13712,849,867
13763,807,854
13814,737,831
13865,644,789
13916,583,736
13967,604,691
14018,691,670
14069,763,675
14120,819,710
14171,864,763
14222,874,814
14273,881,847
14324,885,867
14375,889,876
14426,889,881
14477,889,885
14528,888,886
14579,885,887
14630,882,885
14681,876,882
14732,838,877
14783,795,863
14834,738,837
14885,667,797
14936,588,742
14987,566,684
15038,621,648
15089,697,639
15140,754,657
15191,799,701
15242,832,757
15293,860,805
15344,882,840
15395,885,863
15446,890,878
15497,891,885
15548,890,888
15599,884,889
15650,870,887
15701,845,882
15752,815,871
15803,779,852
15854,735,824
15905,677,785
15956,606,735
16007,556,681
16058,570,637
16109,632,616
16160,694,619
16211,746,649
16262,782,696
16313,812,746
16364,833,788
16415,851,820
16466,862,844
16517,866,862
16568,864,873
16619,856,878
16670,842,876
16721,824,867
16772,801,854
16824,771,834
16875,735,809
16926,686,776
16977,624,735
17028,569,686
17079,547,640
17130,584,608
17181,643,600
17232,698,615
17283,739,650
17334,771,697
17385,794,740
17436,813,775
17487,826,801
17538,838,821
17589,841,835
17640,834,843
17691,827,845
17742,809,842
17793,790,832
17844,765,817
17895,734,797
17946,693,770
17997,643,736
18048,587,693
18099,541,647
18150,553,610
18201,600,590
18252,655,593
18303,701,616
18354,735,657
18405,763,700
18456,786,738
18507,839,767
18558,862,794
18609,871,817
18660,872,834
18711,867,846
18762,856,850
18813,830,840
18864,769,821
18915,730,797
18966,696,767
19017,654,733
19068,602,696
19119,553,654
19170,535,613
19221,565,586
19272,613,578
19323,660,590
19374,700,620
19425,790,660
19476,840,708
19527,862,754
19578,874,794
19629,879,828
19680,882,856
19731,881,870
19782,877,874
19833,869,873
19884,856,866
19935,834,852
19986,796,821
